year,month,day,rainfall_all,avgtemp_all,humidity_all,GDP,mintemp_all,maxtemp_all,heat_all,sensible_all
2020,8,11,1.882592916,28.64155489,67.94687076,4924.276667,25.32595517,33.30793448,31.4036479,28.71082287
2020,8,12,9.698239455,28.20198914,73.29839216,4924.276667,24.97247725,32.22667405,30.94901105,28.17359483
2020,8,13,1.53411043,28.59181716,71.32678057,4924.276667,25.07857913,32.76739623,32.327013,28.59010801
2020,8,14,8.656155369,28.34275994,71.15507026,4924.276667,25.12834772,32.41803789,31.52575925,28.32984831
2020,8,15,21.36477464,26.79316172,80.12069823,4924.276667,24.36402195,30.45701404,28.86129467,26.85299679
2020,8,16,2.32645389,26.70374183,76.29941097,4924.276667,23.64206711,30.86799663,27.91582739,26.74703528
2020,8,17,1.206099199,26.11217482,67.63182625,4924.276667,22.66185675,30.34754659,26.50408708,26.11001652
2020,8,18,0.608011757,26.06630285,66.52508966,4924.276667,22.40995238,30.83496653,26.31991006,26.04994838
2020,8,19,1.037675751,26.50455182,68.93396341,4924.276667,22.38499759,31.18353035,26.86854896,26.3764835
2020,8,20,17.73930139,26.84332733,71.53898251,4924.276667,23.39920126,30.89369052,27.79978128,26.77502243
2020,8,21,9.465103675,26.79226589,75.8461525,4924.276667,23.98368466,30.71377039,28.00756326,26.78402974
2020,8,22,9.489934061,28.03180272,73.50300829,4924.276667,24.0094999,32.70768727,30.18990276,27.86043969
2020,8,23,7.406184553,27.60727747,72.27670914,4924.276667,24.5459915,31.05774028,30.06748997,27.63159739
2020,8,24,9.159246353,25.85465052,77.41431449,4924.276667,23.3211531,28.83356639,27.7220376,25.97623732
2020,8,25,2.278006015,25.40653773,71.49014021,4924.276667,22.25634559,29.84859093,25.79182862,25.43284473
2020,8,26,13.09354998,24.5339985,68.08448966,4924.276667,20.52254384,29.41008678,24.54625875,24.55257589
2020,8,27,21.26110724,23.75711095,78.7003945,4924.276667,20.54713419,27.10007947,23.69438971,23.68406517
2020,8,28,22.0233397,24.66132959,80.30186128,4924.276667,21.8873088,28.52612391,24.97905106,24.6663255
2020,8,29,12.66657451,23.91110925,76.0761544,4924.276667,21.05456051,27.3999729,24.55451094,23.99058267
2020,8,30,5.248092084,23.37426119,70.01159964,4924.276667,20.52591217,27.36239339,23.6821735,23.37292515
2020,8,31,9.283462147,23.57843138,70.30925441,4924.276667,19.32324169,28.3711896,23.54749506,23.54699647
