year,month,day,rainfall_all,avgtemp_all,humidity_all,GDP,mintemp_all,maxtemp_all,heat_all,sensible_all,max_power
2014,2,20,0,2.580329523,59.62882051,4266,-1.271204892,7.812208441,2.616823851,1.125113688,71641
2014,2,21,0,2.139740442,48.08637977,4266,-2.728560072,8.243610048,2.144228231,0.488369194,71428
2014,2,22,0,3.365003915,53.06079302,4266,-1.726112734,9.430409093,3.282518124,2.427006009,62750
2014,2,23,0,4.369937916,55.09790337,4266,-1.008010046,10.50732074,4.259160305,3.410887149,58631
2014,2,24,0,5.632995512,55.12446144,4266,0.320809842,11.78194301,5.465534316,4.621862429,69972
2014,2,25,0,7.263704987,53.51910653,4266,1.537278308,13.7498219,7.16816417,6.463786355,69583
2014,2,26,4.951000838,7.995310581,60.16783583,4266,3.415208174,13.37094699,7.868576538,7.069874568,69420
2014,2,27,0.089123705,9.238550463,63.57076811,4266,5.231523526,15.2561727,9.366280127,8.668972283,67342
2014,2,28,0.017824741,7.907827777,63.2460973,4266,3.865435259,12.59622748,7.838927298,6.82211898,67179
2014,3,1,1.424980622,7.346895924,68.99148756,4266,4.924010783,10.16902022,7.51335062,6.576117205,58850
2014,3,2,0.395741185,5.800865504,55.08837224,4266,1.705405244,11.17337107,5.952259703,4.599205285,56807
2014,3,3,0,5.707050156,42.77834976,4266,-0.091706236,12.17042165,5.663497183,4.719748618,68575
2014,3,4,0.368794969,6.553249919,47.91902607,4266,1.740213906,12.13348159,6.367614534,5.50841007,69932
2014,3,5,0.235000601,3.395198844,45.39797966,4266,-0.031284424,7.954508495,3.824380716,1.238232827,70162
2014,3,6,0.008026359,1.786946927,37.07017404,4266,-2.393870198,6.589643257,1.728859378,-0.713956325,71384
2014,3,7,0,1.310379563,36.3130139,4266,-2.80538371,6.275369162,1.241376665,-1.420931229,72167
2014,3,8,0,3.155865576,44.69187995,4266,-1.552865186,8.52999161,2.953560861,1.277248519,63537
2014,3,9,1.424198605,2.87192311,52.66267174,4266,-0.524774977,7.222517187,3.13394391,0.974531649,58998
2014,3,10,0,2.80833647,41.11357416,4266,-2.731737182,9.15519008,2.579374272,0.543501461,71629
2014,3,11,0,6.101397904,48.74208904,4266,-0.626999398,12.54632527,5.771386388,4.605685684,70922
2014,3,12,18.06865608,7.573676445,75.21956485,4266,4.127046584,10.04501499,7.374750056,6.783803349,70836
2014,3,13,9.867764218,4.964048481,74.94105114,4266,2.05160029,8.841293548,5.420856032,3.590237158,70934
2014,3,14,0.128577686,4.092614937,58.86810065,4266,-0.191712111,8.939542802,4.017937408,2.278595689,68928
2014,3,15,0,7.639094689,58.10950138,4266,0.409703918,14.25684738,7.1198561,5.657339992,61734
2014,3,16,0,11.86414506,60.3516557,4266,6.469710701,18.72023583,11.7779006,11.0936092,55703
