year,month,day,rainfall_all,avgtemp_all,humidity_all,GDP,mintemp_all,maxtemp_all,max_power,heat_all
2014,2,27,0.089123705,9.238550463,63.57076811,4266,5.231523526,15.2561727,67342,9.366280127
2014,2,28,0.017824741,7.907827777,63.2460973,4266,3.865435259,12.59622748,67179,7.838927298
2014,3,1,1.424980622,7.346895924,68.99148756,4266,4.924010783,10.16902022,58850,7.51335062
2014,3,2,0.395741185,5.800865504,55.08837224,4266,1.705405244,11.17337107,56807,5.952259703
2014,3,3,0,5.707050156,42.77834976,4266,-0.091706236,12.17042165,68575,5.663497183
2014,3,4,0.368794969,6.553249919,47.91902607,4266,1.740213906,12.13348159,69932,6.367614534
2014,3,5,0.235000601,3.395198844,45.39797966,4266,-0.031284424,7.954508495,70162,3.824380716
2014,3,6,0.008026359,1.786946927,37.07017404,4266,-2.393870198,6.589643257,71384,1.728859378
2014,3,7,0,1.310379563,36.3130139,4266,-2.80538371,6.275369162,72167,1.241376665
2014,3,8,0,3.155865576,44.69187995,4266,-1.552865186,8.52999161,63537,2.953560861
2014,3,9,1.424198605,2.87192311,52.66267174,4266,-0.524774977,7.222517187,58998,3.13394391
2014,3,10,0,2.80833647,41.11357416,4266,-2.731737182,9.15519008,71629,2.579374272
2014,3,11,0,6.101397904,48.74208904,4266,-0.626999398,12.54632527,70922,5.771386388
2014,3,12,18.06865608,7.573676445,75.21956485,4266,4.127046584,10.04501499,70836,7.374750056
2014,3,13,9.867764218,4.964048481,74.94105114,4266,2.05160029,8.841293548,70934,5.420856032
2014,3,14,0.128577686,4.092614937,58.86810065,4266,-0.191712111,8.939542802,68928,4.017937408
2014,3,15,0,7.639094689,58.10950138,4266,0.409703918,14.25684738,61734,7.1198561
2014,3,16,0,11.86414506,60.3516557,4266,6.469710701,18.72023583,55703,11.7779006
2014,3,17,0.36360506,13.20343744,71.02225895,4266,6.667142422,20.15578063,65809,12.8166917
2014,3,18,0.483009228,12.61277051,71.3936208,4266,8.395388856,18.48079437,65543,13.14812414
2014,3,19,0.001958338,9.912924979,61.45483834,4266,7.564203861,13.26593538,66737,9.88874489
2014,3,20,1.892553181,6.883387064,67.88618174,4266,3.375523031,11.33774317,67400,7.292186337
2014,3,21,0,6.077326894,56.0876485,4266,1.746978976,11.55080877,67809,5.966855186
2014,3,22,0,8.971711096,54.59223813,4266,1.962448654,15.94139414,59838,8.647914699
2014,3,23,0,11.10021327,53.00642637,4266,5.228131307,17.92175401,55419,11.06930513
2014,3,24,0,11.96245253,50.15214176,4266,5.050222616,17.33271672,64545,11.57912957
2014,3,25,6.845203111,14.77085412,72.55661824,4266,12.57260476,18.34244683,64482,14.71676232
2014,3,26,7.301967194,15.05128579,77.83794709,4266,11.85322378,20.62362031,64149,15.22669912
2014,3,27,0,14.10240041,70.18317056,4266,8.833004887,20.8585719,64011,13.98647334
2014,3,28,0,16.97819398,59.1098384,4266,10.80640296,24.00992922,62413,16.6341931
2014,3,29,10.40476657,14.88470549,76.12274151,4266,13.11971095,17.73016983,58164,15.15437628
2014,3,30,5.059928059,14.11593432,72.59855181,4266,10.4642772,19.20193773,53354,14.28687945
2014,3,31,0,13.88986678,59.2909196,4266,8.357877679,20.2367757,62487,13.80492339
2014,4,1,0,15.26795893,47.55044873,4434.98,8.954266254,22.66446821,62418,15.12125118
2014,4,2,0,15.74482339,39.69649124,4434.98,9.344121973,22.72066207,61890,15.68995377
2014,4,3,2.203243952,11.84345676,56.91907612,4434.98,6.648500071,17.59558666,63504,12.35640988
2014,4,4,0.532929204,7.703537744,52.0763403,4434.98,3.359118518,12.84924695,63757,7.780009531
2014,4,5,0.192989187,7.067787943,58.23589282,4434.98,3.6138079,12.30610585,57527,7.127750284
2014,4,6,0,8.318933951,43.97157052,4434.98,3.079722732,14.19294241,54598,8.0445477
2014,4,7,0,11.86836553,50.63333388,4434.98,5.74240058,18.66005563,63722,11.59852515
2014,4,8,0,13.33303965,43.40451539,4434.98,6.79957912,21.01804847,63010,13.33925963
2014,4,9,0,13.04921659,63.98848596,4434.98,7.536864884,19.41154324,63343,12.87664062
2014,4,10,0,13.676479,60.9930673,4434.98,8.376372026,20.93525291,63345,13.6907366
2014,4,11,0.018754949,13.57969512,60.34008109,4434.98,10.09025907,18.44437684,63314,13.51658505
2014,4,12,0.209349246,14.26612456,64.25585918,4434.98,11.1569015,17.8128788,57820,14.08591668
2014,4,13,2.030072796,15.27687929,60.95200497,4434.98,11.57747731,21.31625719,53026,15.4009507
2014,4,14,0,15.57918563,47.55804958,4434.98,9.371450484,22.69893501,62272,15.56632409
2014,4,15,0,15.67502995,61.33327098,4434.98,9.817837018,21.50975364,62333,15.4710253
2014,4,16,0,16.75661975,62.5645406,4434.98,12.5715995,22.75740477,61956,16.86663095
2014,4,17,13.43903395,14.74641306,62.31876614,4434.98,9.408760209,21.3336245,63069,14.69121789
2014,4,18,0.462942022,14.71220093,72.37574423,4434.98,11.50169166,19.95687946,62898,14.67172916
2014,4,19,0.037509898,13.34436076,60.80455092,4434.98,10.91942999,17.27557744,57447,13.41677359
2014,4,20,0,14.48397218,53.89654417,4434.98,10.07748378,20.8929914,52591,14.42652238
2014,4,21,0,15.79112668,55.6004357,4434.98,10.17144676,22.24105143,61312,15.67813883
2014,4,22,0,16.14831051,43.73666916,4434.98,10.84040409,22.8728812,61699,16.21851296
2014,4,23,0,17.24630637,43.36647727,4434.98,10.23000894,24.91837925,60966,17.14768168
2014,4,24,0,18.4737621,46.88733669,4434.98,11.73745792,25.85836971,61546,18.3701121
2014,4,25,0,18.84007048,35.62107942,4434.98,11.95019962,26.09785641,61166,18.8127709
2014,4,26,0,18.58535898,42.31198473,4434.98,12.90257007,24.58659338,55806,18.38479138
2014,4,27,7.747674074,16.24647182,75.27892785,4434.98,13.83271059,19.38256384,52100,16.59162506
2014,4,28,27.87991128,13.93766796,90.44574551,4434.98,12.56257629,15.5355069,62596,14.01319108
2014,4,29,16.76617387,14.93996532,82.84764759,4434.98,12.62497465,17.98101675,62173,14.90925669
2014,4,30,1.726848576,15.44442428,74.35481596,4434.98,11.97493839,19.85251632,61294,15.51259631
2014,5,1,0.068173887,16.88267055,64.46135733,4434.98,11.26883156,23.03964531,55782,16.72788333
2014,5,2,0.403168081,17.38433029,65.11718889,4434.98,11.86278365,25.69693165,58473,17.47901642
2014,5,3,0,14.77613613,48.25674949,4434.98,9.827155244,21.0755842,52592,14.89545397
2014,5,4,0.987418657,13.7432994,55.35258296,4434.98,9.389782074,20.68158528,50506,13.93676418
2014,5,5,0.142221975,12.28690175,49.87013845,4434.98,7.684517814,17.3148443,52425,12.24726555
2014,5,6,0,13.82092693,44.01212126,4434.98,8.003642478,19.96319076,54460,13.67665091
2014,5,7,0.806110464,16.1618487,44.79439884,4434.98,8.813572325,22.84670847,59921,15.85835279
2014,5,8,4.983794878,16.13684834,71.92502818,4434.98,12.39162897,20.99514145,61820,16.32159048
2014,5,9,0,16.89922417,58.25078249,4434.98,10.79707113,23.80684206,60847,16.74293941
2014,5,10,0,19.24578755,44.55526779,4434.98,12.00277102,26.49808517,56582,19.0004898
2014,5,11,14.83827392,18.72584056,52.16403356,4434.98,14.62530346,24.05926361,52256,18.89743193
2014,5,12,24.95712038,18.07514953,75.56098795,4434.98,14.85266434,22.4940554,61216,18.05139529
2014,5,13,0,20.44727811,61.71442551,4434.98,13.21948893,27.02846933,62149,20.16939265
2014,5,14,0.408188272,19.31926203,62.59480504,4434.98,15.73241554,24.0379984,62471,19.50880494
2014,5,15,0.123389081,19.25665923,58.70315126,4434.98,15.00414751,25.17686536,62172,19.31601058
2014,5,16,0,19.80740863,48.56441586,4434.98,13.71214359,26.3110527,62471,19.66453013
2014,5,17,0,20.26014175,49.82523719,4434.98,14.81773196,26.25778332,56689,20.38839886
2014,5,18,0,20.43058036,53.49558037,4434.98,14.19962633,27.01426326,52446,20.43741548
2014,5,19,0,20.72938071,55.52167134,4434.98,14.19343722,27.09742578,62956,20.51144383
2014,5,20,2.303937384,20.15616735,59.33254455,4434.98,16.4989213,24.92445985,63090,20.21564368
2014,5,21,0.003932281,19.90068212,64.78295443,4434.98,15.339831,26.16218051,62891,19.99011561
2014,5,22,0.003709857,20.79061427,64.59373373,4434.98,14.33573331,28.16973448,63560,20.58595768
2014,5,23,0,21.04339284,67.87158711,4434.98,17.3088036,25.93050144,63549,21.06169057
2014,5,24,0,21.97110045,68.61389601,4434.98,16.92844235,28.41434377,57838,21.76704434
2014,5,25,15.15096126,20.84301826,73.76074071,4434.98,18.35944548,25.101007,52266,20.98974109
2014,5,26,2.819966213,20.72960509,65.28632912,4434.98,17.41734503,25.92713846,62708,20.85871853
2014,5,27,0,23.02706917,45.45072658,4434.98,16.50539551,29.26244185,64420,22.72982018
2014,5,28,0.087835294,22.76904476,62.32034514,4434.98,18.96368075,28.3775853,65865,22.9864177
2014,5,29,0,23.37644851,60.2444294,4434.98,17.23746911,30.72218859,66574,23.31748183
2014,5,30,0,24.58346005,48.8013503,4434.98,17.3594465,31.29000674,67424,24.23117364
2014,5,31,0,25.90286608,47.89078164,4434.98,19.69898755,32.71626247,60914,25.7202951
2014,6,1,0,24.6165022,56.32517387,4434.98,20.30360514,29.48057065,54570,24.5883904
2014,6,2,3.175408762,21.94408662,67.78904762,4434.98,19.32315387,24.6851641,64375,22.1523566
2014,6,3,22.43684313,19.36863063,88.45215465,4434.98,17.63652246,21.78082149,63465,19.42039468
2014,6,4,1.154861933,22.14532384,69.23866587,4434.98,18.86918778,26.75263798,61469,22.10247763
